Year,Season,Date,ID2,Latitude,Longitude,TopDepth,BottomDepth,BulkDensity,GravimetricWaterContent,VolumetricWaterContent,Nitrate,Ammonia,Notes
1999,Fall,1999-09-22,3,46.77879099993472,-117.08667799999922,0,1,1.4100577667067484,0.08148285746574402,0.11489553602303132,7.6997659190712815,,
1999,Fall,1999-09-22,3,46.77879099993472,-117.08667799999922,1,2,1.4387603334093544,0.12877683341503146,0.18527899977961154,0.8108517899505215,,
1999,Fall,1999-09-22,3,46.77879099993472,-117.08667799999922,2,3,1.619386478940576,0.13845476508140564,0.2242117745177221,0.11105186061995692,,
1999,Fall,1999-09-22,3,46.77879099993472,-117.08667799999922,3,4,1.6400485580244677,0.14553774893283844,0.2386889752754287,0.011185350461150037,,
1999,Fall,1999-09-22,3,46.77879099993472,-117.08667799999922,4,5,1.64,0.15358318388462067,0.2518764215707779,0.31108928819837306,,
1999,Fall,1999-09-22,5,46.77866599993601,-117.08584199999686,0,1,1.3749277326504723,0.10247579216957092,0.14089680857926917,9.12653097502077,,
1999,Fall,1999-09-22,5,46.77866599993601,-117.08584199999686,1,2,1.3305880261003118,0.1113099455833435,0.14810768077907416,0.2142659180740638,,
1999,Fall,1999-09-22,5,46.77866599993601,-117.08584199999686,2,3,1.3522161516046738,0.11144646257162094,0.1506997067285516,0.21119494569795455,,
1999,Fall,1999-09-22,5,46.77866599993601,-117.08584199999686,3,4,1.4994731668045351,0.14642329514026642,0.21955780205793038,0.4110116880897611,,
1999,Fall,1999-09-22,5,46.77866599993601,-117.08584199999686,4,5,1.5315621526449732,0.1696983128786087,0.2599035133725821,0.8124690027407986,,
1999,Fall,1999-09-22,7,46.77863199993578,-117.08500599999628,0,1,1.4429653954494086,0.08893579989671707,0.12833128166757582,6.00419820320734,,
1999,Fall,1999-09-22,7,46.77863199993578,-117.08500599999628,1,2,1.2767874077873471,0.1030450314283371,0.13156659856275224,1.9087080150875864,,
1999,Fall,1999-09-22,7,46.77863199993578,-117.08500599999628,2,3,1.4005332996664317,0.10891792923212053,0.15254318682029666,0.21141059462273926,,
1999,Fall,1999-09-22,7,46.77863199993578,-117.08500599999628,3,4,1.4847092805521311,0.12097402662038804,0.1796112600290507,0.21096142279170452,,
1999,Fall,1999-09-22,7,46.77863199993578,-117.08500599999628,4,5,1.4993807489987243,0.14262452721595764,0.2138484704426515,0.7106904848054617,,
1999,Fall,1999-09-22,9,46.778673999933005,-117.08416999999837,0,1,1.4734877708136445,0.0916937291622162,0.135109588580824,12.9320936554186,,
1999,Fall,1999-09-22,9,46.778673999933005,-117.08416999999837,1,2,1.3298123600358889,0.10673999041318892,0.14194415856157092,1.3096720500920371,,
1999,Fall,1999-09-22,9,46.778673999933005,-117.08416999999837,2,3,1.419344785681107,0.1164775937795639,0.16532186537970617,0.011216040436006191,,
1999,Fall,1999-09-22,9,46.778673999933005,-117.08416999999837,3,4,1.4562706453032024,0.1205461174249649,0.17554777221124926,0.1110277268614496,,
1999,Fall,1999-09-22,9,46.778673999933005,-117.08416999999837,4,5,1.455243607093288,0.1386147141456604,0.20171817660953584,0.6104802005295153,,
1999,Fall,1999-09-22,11,46.778657999932655,-117.08333399999815,0,1,1.4352033288334518,0.10542992502450944,0.1513133793538372,14.66014260569299,,
1999,Fall,1999-09-22,11,46.778657999932655,-117.08333399999815,1,2,1.3714032227741584,0.11525804549455645,0.1580652550418853,0.9446669814094766,,
1999,Fall,1999-09-22,11,46.778657999932655,-117.08333399999815,2,3,1.4942825919097324,0.11382792890071868,0.17009109262948263,0.044397515959335616,,
1999,Fall,1999-09-22,11,46.778657999932655,-117.08333399999815,3,4,1.6700249615108425,0.12936362624168396,0.21604048493517125,0.0,,
1999,Fall,1999-09-22,11,46.778657999932655,-117.08333399999815,4,5,1.6793376255621761,0.15964193642139435,0.2680927104500523,0.14426388192403206,,
1999,Fall,1999-09-22,13,46.778763999934995,-117.08249800000364,0,1,1.3512400518022354,0.09617415815591812,0.1299543744486392,3.5407079346911057,,
1999,Fall,1999-09-22,13,46.778763999934995,-117.08249800000364,1,2,1.4450530405916546,0.10865425318479538,0.15701115893790404,0.5448503997003127,,
1999,Fall,1999-09-22,13,46.778763999934995,-117.08249800000364,2,3,1.5307404763433319,0.12516845762729645,0.1916004244515679,0.0,,
1999,Fall,1999-09-22,13,46.778763999934995,-117.08249800000364,3,4,1.6184238462009453,0.1294778287410736,0.20955000558887565,0.0,,
1999,Fall,1999-09-22,13,46.778763999934995,-117.08249800000364,4,5,1.6381616441713662,0.1362493634223938,0.22319848120133062,0.0,,
1999,Fall,1999-09-22,15,46.778706999934904,-117.08124400000357,0,1,1.2604917249672811,0.12635093927383426,0.15926431339651154,0.6448767619186344,,
1999,Fall,1999-09-22,15,46.778706999934904,-117.08124400000357,1,2,1.3781235393969054,0.08685939013957977,0.11970297016901434,0.0,,
1999,Fall,1999-09-22,15,46.778706999934904,-117.08124400000357,2,3,1.5974716737451455,0.16872425377368927,0.2695322160772561,0.0,,
1999,Fall,1999-09-22,15,46.778706999934904,-117.08124400000357,3,4,1.6561737836623365,0.22418904304504395,0.3712960156755489,0.044459155715115765,,
1999,Fall,1999-09-22,15,46.778706999934904,-117.08124400000357,4,5,1.6705351860814843,0.2271418124437332,0.37944838991757746,0.3443596666163901,,
1999,Fall,1999-09-22,17,46.77879699993179,-117.07998999999813,0,1,1.3325337995555395,0.1047792062163353,0.13962183377386667,4.246247161534474,,
1999,Fall,1999-09-22,17,46.77879699993179,-117.07998999999813,1,2,1.0744432776246926,0.13556750118732452,0.14565959031509837,1.243569401585624,,
1999,Fall,1999-09-22,17,46.77879699993179,-117.07998999999813,2,3,1.1727946356973815,0.10739830136299132,0.125956151721527,0.0444272711054118,,
1999,Fall,1999-09-22,17,46.77879699993179,-117.07998999999813,3,4,1.512193702009989,0.09273463487625122,0.14023273081806298,0.0,,
1999,Fall,1999-09-22,17,46.77879699993179,-117.07998999999813,4,5,1.512193702009989,0.1679631918668747,0.2539928809105833,0.4444190319920382,,
1999,Fall,1999-09-22,19,46.778826619173316,-117.08846626321173,0,1,1.56295366780823,0.08920909464359282,0.13942968167505493,7.937387205236233,,
1999,Fall,1999-09-22,19,46.778826619173316,-117.08846626321173,1,2,1.5390172430942115,0.11777125298976898,0.18125198909206516,0.9437015820466851,,
1999,Fall,1999-09-22,19,46.778826619173316,-117.08846626321173,2,3,1.6203084553282192,0.12003720551729202,0.19449729905363944,0.0,,
